source_sheet,Code,Définition,Précisions,source_file,Restitution,Etape,Définition_E,Principe,Définition _PP,Paramètre ,Degré_Retenu_P,Sources,Justification_Degré_Retenu_P,Deal-Breaker,Commentaire,Degré 3 ,Degré 2 ,Degré 1 ,Degré 0,Source,Deal-Breaker (Oui/Non),Commentaires ,Degré 3, Degré 1,Paramètre,Degré 1
Etape 3,,,,Codification V3 Excel.xlsx,,,,,,"3. temporalité, fréquence et actualisation des informations publiées",,,,,,,La publication des informations concernant le décaissement et l'allocation des fonds restitués s'effectue selon l'une des modalités suivantes: a) elle ne s'effectue pas tout au long du processus de sélection des entités récipiendaires. b) elle ne s'effectue pas tout au long de la mise en œuvre des programmes d’allocation.,,Aucune information n'est publiée.,,,,"Les informations concernant la sélection des entités récipiendaires, l'allocation des fonds restitués et leur décaissement sont publiées (cumulativement): a) tout au long du processus de sélection des entités récipiendaires. b) tout au long de la mise en œuvre des programmes d’allocation.",Seule l'identité des entités récipiendaires des fonds est divulguée.,,
Etape 3,,,,Codification V3 Excel.xlsx,,,,redevabilité (P_R),"La mise en œuvre des programmes d’allocation des fonds et le processus de sélection des entités récipiendaires garantit la meilleure utilisation possible des fonds restitués, permet une identification claire de tous les acteurs impliqués et inclut des mécanismes adéquats pour prévenir les éventuelles irrégularités et y remédier, le cas échéant.",4. planification et formalisation du processus de restitution,,,,,,,"La sélection des entités récipiendaires s'effectue à la suite d'un appel d'offre, mais qui ne répond pas à l'entièreté des conditions suivantes: a) il présente des garanties une réelle mise en concurrence entre les candidats b) qui sont exécutés en accord avec les meilleures pratiques en matière de passation des marchés publics c) qui sont ouverts assez longtemps pour permettre aux populations et OSC concernées de monter leur dossier.",,Aucune information n'est publiée.,,,,Les trois éléments sont réunis concernant la sélection des entités récipiendaires des fonds: a) elle s'effectue à la suite d'un appel l'offre qui garanti une réelle mise en concurrence entre les candidats. b) les appels d'offres sont exécutés en accord avec les meilleures pratiques en matière de passation des marchés publics. c) les appels d'offres sont ouverts assez longtemps pour permettre aux populations et OSC concernées de monter leur dossier.,"Les deux conditions sont remplies, cumulativement: a) L’allocation des fonds aux entités récipiendaires n’est pas formalisée dans le cadre d’un programme spécifique. b) Le pays d’origine (avec ou non le pays d’accueil) des avoirs choisit les entités récipiendaires de façon totalement discrétionnaire.",,
Etape 3,,,,Codification V3 Excel.xlsx,,,,,,5. répartition des rôles ,,,,,,,Ne sont uniquement identifiés que les acteurs principaux intervenant dans l’attribution des fonds (autorités étatiques) et dans la sélection des entités récipiendaires. Leurs rôles et responsabilités dans l'utilisation des fonds sont également identifiés.,,Les rôles et responsabilités à l’égard de l’allocation des fonds aux entités récipiendaires ne sont pas définis.,,,,"Les trois conditions suivantes sont cumulativement remplies : a) sont identifiées, au sein du pays d’origine et du pays d’accueil, les autorités responsables de la sélection des entités récipiendaires b) sont identifiées, au sein du pays d’origine et du pays d’accueil, les autorités responsables du décaissement des fonds. c) Des points de contact sont désignés auprès de ces différents acteurs.","Les acteurs principaux intervenant dans l’attribution des fonds (autorités étatiques) et la mise en œuvre des projets financés (entités récipiendaires) sont identifiés, mais leur rôle et responsabilités dans l'utilisation des fonds sont vagues ou imprécis.",,
Etape 3,,,,Codification V3 Excel.xlsx,,,,,,6. responsabilité et recours ,,,,,,,Le degré correspond à un des deux cas suivants : a) Le mécanisme de redevabilité spécifique mis en place pour garantir une sélection des entités récipiendaires ne contient pas de critères objectifs. b) Il n'y a pas de mécanisme de redevabilité spécifique mis en place mais des garanties sont mises en place qui prennent une autre forme que les recours.,,Une clause exclut expressément la responsabilité d’un ou des États parties en cas d’irrégularité.,,,,"Les deux conditions suivantes sont réunies dans la sélection des entités récipiendaires : a) les parties prenantes ont la possibilité de former un recours en cas d’irrégularité dans la mise en œuvre des programmes d’allocation des fonds, notamment dans le cadre des appels d’offres des entités récipiendaires. b) tout recours entraîne l'arrêt immédiat des transferts, jusqu'à contrôle et résolution.",Aucun mécanisme de redevabilité spécifique n’est mis en place pour garantir une sélection des entités récipiendaires selon des critères objectifs.,,
Etape 3,,,,Codification V3 Excel.xlsx,,,,inclusivité (P_I),"La société civile peut remplir son rôle de gardien de l’intégrité du processus de restitution et est à même de contrôler la régularité de la sélection des entités récipiendaires, l’allocation des fonds restitués et leur décaissement.  ",7. capacité d'action,,,,,,,"La société civile et le grand public ont accès à une information avant la mise en oeuvre des projets (en temps réel, pendant la sélection des entités récipiendaires et l'allocation des fonds), mais elle est limitée, ce qui peut contraindre leur capacité à soulever d’éventuelles irrégularités.",,"Aucune information n'est publiée concernant l’allocation des fonds, afin de pouvoir effectuer un contrôle et signaler toute irrégularité potentielle.",,,,"La société civile et le grand public ont accès à toutes les informations et la documentation concernant l’allocation des fonds, afin de pouvoir effectuer un contrôle et signaler toute irrégularité potentielle.","La société civile et le grand public n’ont accès qu’à une information très limitée et seulement après le début de la mise en œuvre des projets, ce qui ne leur permet pas de soulever d’éventuelles irrégularités en temps utile pour y remédier.",,
Etape 3,,,,Codification V3 Excel.xlsx,,,,,,8. modalités de participation ,,,,,,,"Le processus de candidature est imparfait. Il ne correspond pas à l’entièreté des conditions suivantes : a) inclusif, donc ouvert aux petites et grosses OSC et les modalités de participation sont adaptées aux populations précaires. b) local, donc les candidatures sont effectivement ouvertes aux populations et OSC locales. c) rendu accessible, donc adapté aux réalités pratiques des populations bénéficiaires (extension des temps de candidature, modalités de participation claires et définies, ...). ",,Aucune information n'est disponible à ce sujet. Ce degré est également rempli s’il n'y a pas de processus de candidature pour les entités récipiendaires.,,,,"Le processus de candidature aux différents programmes d’allocation des fonds est : a) inclusif, donc ouvert aux petites et grosses OSC et les modalités de participation sont adaptées aux populations précaires. b) local, donc les candidatures sont effectivement ouvertes aux populations et OSC locales. c) rendu accessible, donc adapté aux réalités pratiques des populations bénéficiaires (extension des temps de candidature, modalités de participation claires et définies, ...).","Le processus de candidature a) est local, donc ouvert aux populations et OSC locales. b) n'est pas accessible, les réalités pratiques de la population ne sont pas du tout prises en compte. c) n’est pas inclusif, aucune mesure spécifique vise à inclure petites et grandes OSC. ",,
Etape 3,,,,Codification V3 Excel.xlsx,,,,,,9. pertinence des entités récipiendaires sélectionnées,,,,,,,"Les entités sélectionnées ne sont pas forcément variées (de diverses missions, budget, taille), mais elles sont issues de la société civile de la population affectée et elles répondent effectivement aux besoins de la population affectée.",,Aucune information n'est disponible à ce sujet. Ce degré est également rempli si aucune information ne montre ni ne prouve que la sélection des entités récipiendaires permet de répondre à un besoin identifié de la population affectée.,,,,"Les entités effectivement sélectionnées : a) sont locales. b) sont variées (de diverses missions, budget, taille). c) répondent effectivement aux besoins de la population identifiés.","Les entités sélectionnées ne sont ni locales, ni variées (de diverses missions, budget, taille). Cependant, elles font un travail qui répond effectivement à un besoin identifié de la population affectée.",,
Etape 4,,,,Codification V3 Excel.xlsx,,E4,Suivi de la mise en œuvre et évaluation du processus de restitution.,transparence (P_T) ,"La société civile et le grand public ont accès à l’ensemble de la documentation relative au suivi et à l’évaluation de la restitution, et sont tenus informés de la progression et des résultats de la mise en œuvre des programmes d’allocation.",,,,,,,,"La publication de la documentation relative au suivi et à l’évaluation de la mise en œuvre des programmes d’allocation, ne répond pas à l’ensemble des critères suivants : a) les informations sont publiées en source ouverte. b) les informations sur publiées de manière centralisée, sur un site ou une page web dédiée. c) les informations publiées sont accessibles par défaut depuis le pays d'origine et le pays d'accueil, dans leurs langues.",,"Il n’y a ni un suivi, ni une évaluation de la mise en œuvre des programmes d’allocation. ",,,,"La publication de la documentation relative au suivi et à l’évaluation de la mise en œuvre des programmes d’allocation répond à l’ensemble des critères suivants : a) les informations sont publiées en source ouverte. b) les informations sont publiées de manière centralisée, sur un site ou une page web dédiée. c) les informations publiées sont accessibles par défaut depuis le pays d'origine et le pays d'accueil, dans leurs langues.",,1. modalités d'accès à l'information ,L’accès à l’ensemble des informations est restreint aux parties prenantes uniquement.
Etape 4,,,,Codification V3 Excel.xlsx,,,,,,,,,,,,,"L’ensemble de la documentation relative au transfert et à la gestion des fonds restitués est publié, à l’exception d’une ou deux des documentations suivantes : a) des communiqués de presse ou autres publications similaires, par les autorités du pays d’origine et du pays d’accueil publient. b) la documentation relative aux modalités de suivi et d’évaluation (y compris les modalités de sélection des moniteurs et évaluateurs). c) les rapports de suivi et d’évaluation intermédiaires et finaux. e) Réunions du conseil d'administration et ses conclusions (s’il y en a). ",,Aucune documentation relative au suivi et à l’évaluation de la mise en œuvre des programmes d’allocation n'est publiée. Ce degré est également retenu s’il n’y a pas de suivi ni d’évaluation. ,,,,"L'ensemble des documentations suivantes sont publiées : a) des communiqués de presse ou autres publications similaires, par les autorités du pays d’origine et du pays d’accueil. b) l’ensemble de la documentation relative au transfert et à la gestion des fonds restitués. c) la documentation relative aux modalités de suivi et d’évaluation (y compris les modalités de sélection des moniteurs et évaluateurs). d) l'entièreté des rapports de suivi et d’évaluation intermédiaires et finaux. e) Réunions du conseil d'administration et ses conclusions (s’il y en a).",,2. niveau de détail de l'information ,"Seule la documentation relative au transfert et à la gestion des fonds restitués est publiée. Ce degré peut également être retenu si les publications sont manifestement insuffisantes, ou si la majorité des documents de suivi et d’évaluation sont restreinte aux parties prenantes.  "
Etape 4,,,,Codification V3 Excel.xlsx,,,,,,,,,,,,,Les informations et documentations sont publiées de manière irrégulière et aléatoire au long du processus de restitution.,,Aucune documentation relative au suivi et à l’évaluation des résultats de la mise en œuvre des programmes d’allocation n'est publiée. Ce degré est également retenu s’il n’y a pas de suivi ni d’évaluation. ,,,,Les informations et documentations sont publiées a) sans délai. b) tout au long de la mise en œuvre des programmes d’allocation.,,"3. temporalité, fréquence et actualisation des informations publiées",Les informations et la documentation sont publiées à la fin du processus de restitution.
Etape 4,,,,Codification V3 Excel.xlsx,,,,redevabilité (P_R),"Un processus de suivi et d’évaluation effectif, impartial et indépendant est planifié et mis en place, permettant de contrôler la réalisation des objectifs du processus de restitution. Un tel processus est assorti de mécanismes adéquats pour prévenir les éventuels problèmes et irrégularités intervenant dans la mise en œuvre des projets et y remédier, le cas échéant.",,,,,,,,"Un processus de suivi et d'évaluation interne est mis en œuvre par les autorités du pays d’origine et du pays d’accueil, qui respecte au moins une des conditions suivantes : a) est impartial et indépendant. b) est organisé conformément aux meilleures pratiques en matière de suivi et d'évaluation (évaluation à la fois qualitative et quantitative). c) donne lieu à la publication de rapports de suivi et d’évaluation intermédiaires et finaux. d) cette publication suit un calendrier déterminé à l’avance en fonction de la durée de mise en œuvre des programmes d’allocation.",,Aucune information n’est publiée au sujet du processus de suivi et d’évaluation interne. Ce degré est également retenu s’il n’y a pas de suivi ni d’évaluation. ,,,,Un processus de suivi et d'évaluation interne est mis en place par les autorités du pays d’origine et du pays d’accueil qui respecte toutes les conditions suivantes : a) il est impartial et indépendant. b) il est organisé conformément aux meilleures pratiques en matière de suivi et d'évaluation (évaluation à la fois qualitative et quantitative). c) il donne lieu à la publication de rapports de suivi et d’évaluation intermédiaires et finaux. d) cette publication suit un calendrier déterminé à l’avance en fonction de la durée de mise en œuvre des programmes d’allocation.,,4. planification et formalisation du suivi et de l'évaluation interne,Le suivi et l'évaluation interne s'effectuent dans les conditions suivantes: a) les autorités du pays d’origine et du pays d’accueil déterminent des modalités de suivi et d’évaluation. b) les modalités de suivi et d’évaluation ne font l’objet d’aucune publication.
Etape 4,,,,Codification V3 Excel.xlsx,,,,,,,,,,,,,"Un processus de suivi et d'évaluation externe est mis en oeuvre par les autorités du pays d’origine et du pays d’accueil, qui respecte au moins une des conditions suivantes : a) est impartial et indépendant. b) est organisé conformément aux meilleures pratiques en matière de suivi et d'évaluation (évaluation à la fois qualitative et quantitative). c) il donne lieu à la publication de rapports de suivi et d’évaluation intermédiaires et finaux. d) cette publication suit un calendrier déterminé à l’avance en fonction de la durée de mise en œuvre des programmes d’allocation.",,Aucune information n’est publiée au sujet du processus de suivi et d’évaluation externe. Ce degré est également retenu s’il n’y a pas de suivi ni d’évaluation. ,,,,"Un processus de suivi et d'évaluation externe est mis en œuvre par les autorités du pays d’origine et du pays d’accueil, qui respecte toutes les conditions suivantes : a) il est impartial et indépendant. b) il est organisé conformément aux meilleures pratiques en matière de suivi et d'évaluation (évaluation qualitative et quantitative). c) il donne lieu à la publication de rapports de suivi et d’évaluation intermédiaires et finaux. d) cette publication suit un calendrier déterminé à l’avance en fonction de la durée de mise en œuvre des programmes d’allocation.",,5. planification et formalisation du suivi et de l’évaluation externe,Le suivi et l'évaluation externe s'effectuent dans les conditions suivantes : a) les autorités du pays d’origine et du pays d’accueil déterminent des modalités de suivi et d’évaluation. b) les modalités de suivi et d’évaluation ne font l’objet d’aucune publication.
Etape 4,,,,Codification V3 Excel.xlsx,,,,,,,,,,,,,Le degré est appliqué si une ou plusieurs des conditions suivantes sont remplies : a) les moniteurs et les évaluateurs sont sélectionnés à la discrétion des autorités du pays d’origine et du pays d’accueil. b) les moniteurs et les évaluateurs ont uniquement l’obligation de préparer un rapport final. c) les rapports finaux préparés par les moniteurs et les évaluateurs ne sont accessible qu’aux autorités du pays d’origine et du pays d’accueil. d) un ou plusieurs rapports de suivi et d’évaluation ne sont pas publiés.,,Aucune information n’est publiée au sujet du processus de suivi et d’évaluation interne ou externe. Ce degré est également retenu s’il n’y a pas de suivi ni d’évaluation. ,,,,La sélection des moniteurs et évaluateurs s’effectue conformément à l'ensemble des modalités suivantes : a) selon des critères permettant d’assurer leur impartialité et leur indépendance. b) selon des critères permettant d'assurer la qualité et la fiabilité de leurs travaux. c) à la suite de l’organisation d’appels d’offres. d) présentant les garanties d’une réelle mise en concurrence. e) en accord avec les meilleures pratiques en matière de passation des marchés publics.,,6. répartition des rôles ,Relève exclusivement de la compétence des autorités du pays d’origine (cumulatif) : a) le suivi de la mise en œuvre des programmes d’allocation. b) l’évaluation du processus de restitution.
Etape 4,,,,Codification V3 Excel.xlsx,,,,,,,,,,,,,"Toutes les parties prenantes ne sont pas forcément redevables, les conditions suivantes ne sont que partiellement respectées. a) les moniteurs et évaluateurs sont redevables (code de conduite, contrat, ...). b) un système de contrepoids est mis en place (multiples moniteurs). c) les employés / bénévoles travaillant sur la mise en place des programmes sont redevables (existence d'un code de conduite, formations, ...). c) les entités récipiendaires des fonds sont soumises à des sanctions précises et définies en cas d’irrégularités dans la mise en œuvre des projets constatées par les moniteurs (e.g. suspension du financement, remboursement de tout ou partie des fonds en cas de détournement par les entités récipiendaires, etc.).",,Ce degré est retenu si une clause exclut explicitement la responsabilité d’un ou des États parties dans le cas où il y aurait une irrégularité. ,,,,"L'ensemble des parties prenantes de la restitution sont redevables, c'est à dire que : a) les moniteurs et évaluateurs sont redevables (code de conduite, contrat, ...). b) un système de contrepoids est mis en place (multiples moniteurs). c) les employés / bénévoles travaillant sur la mise en place des programmes sont redevables (existence d'un code de conduite, formations, ...). c) les entités récipiendaires des fonds sont soumises à des sanctions précises et définies en cas d’irrégularités dans la mise en œuvre des projets constatées par les moniteurs (e.g. suspension du financement, remboursement de tout ou partie des fonds en cas de détournement par les entités récipiendaires, etc.).",,7. responsabilité et redevabilité ,Le degré correspond aux restitutions pour lesquelles : a) aucun mécanisme de redevabilité spécifique n’est mis en place à l’égard des moniteurs et évaluateurs. b) aucun mécanisme de redevabilité spécifique n'est mis en place pour les bénévoles / employés travaillant à la mise en place des programmes d’allocation des fonds. c) aucun mécanisme de redevabilité spécifique n’est mis en place à l’égard des entités récipiendaires des fonds.
Etape 4,,,,Codification V3 Excel.xlsx,,,,,,,,,,,,,"Les mécanismes de suivi et d'évaluation de la restitution ont permis de relever des irrégularités, mais elles n'ont été que partiellement rectifiées et sanctionnées. Les recommandations des moniteurs ont été prises en compte.",,Ce degré est retenu si une clause exclut explicitement la responsabilité d’un ou des États parties dans le cas où il y aurait une irrégularité. ,,,,"Les mécanismes de suivi et d’évaluation de la restitution sont efficaces, et ont permis : a) de relever des irrégularités. b) ces irrégularités ont été entièrement rectifiées et sanctionnées. c) les recommandations des moniteurs ont été prises en compte et intégrées au cours du processus de restitution.",,8. responsabilité et recours ,"Les mécanismes de suivi et d'évaluation n'ont pas permis de relever des irrégularités. Les recommandations des moniteurs n'ont pas spécifiquement été pris en compte, ou aucune information concernant la prise en compte des recommandations des moniteurs n'est accessible."
Etape 4,,,,Codification V3 Excel.xlsx,,,,inclusivité (P_I),"Les voix de la société civile et du grand public sont prises en compte dans le suivi et l’évaluation du processus de restitution, et les OSC du pays d’origine et du pays d’accueil disposent de toutes les ressources nécessaires pour remplir leur propre rôle de suivi et d’évaluation du processus de restitution.",,,,,,,,"Les conditions suivantes ne sont que partiellement remplies : 1. La société civile et le grand public ont accès à toutes les informations et la documentation concernant : a) la mise en œuvre des programmes d’allocation. b) le suivi et l’évaluation de la mise en œuvre des programmes d’allocation, afin de pouvoir effectuer leur propre contrôle et signaler toute irrégularité potentielle. 2. Les OSC ont également accès aux sites pertinents. 3. Toutes les informations sont accessibles en temps et en heure.",,La société civile n’a pas accès à aucune des informations suivantes a) à l’information nécessaire pour effectuer un suivi de la mise en œuvre des programmes récipiendaires. b) à l’information nécessaire pour effectuer un suivi de l’évaluation du processus de restitution.,,,,"Toutes les conditions suivantes sont remplies cumulativement : 1. La société civile et le grand public ont accès à toutes les informations et la documentation concernant : a) la mise en œuvre des programmes d’allocation. b) le suivi et l’évaluation de la mise en œuvre des programmes d’allocation, afin de pouvoir effectuer leur propre contrôle et signaler toute irrégularité potentielle. 2. Les OSC ont également accès aux sites pertinents. 3. Toutes les informations sont accessibles en temps et en heure.",,9. capacité d'action,"Les deux éléments suivants sont remplis : a) La société civile et le grand public n’ont accès qu’à une information très limitée. b) L’information n’est accessible qu’à la fin du processus de restitution, ce qui ne leur permet pas de soulever d’éventuelles irrégularités en temps utile."
Etape 4,,,,Codification V3 Excel.xlsx,,,,,,,,,,,,,"Les conditions suivantes ne sont que partiellement remplies : a) la société civile et le grand public ont la possibilité de soulever tout problème ou toute irrégularité rencontrés à l’occasion de la mise en œuvre des programmes d’allocation en actionnant un mécanisme de traitement des réclamations et signalements. b) le mécanisme de traitement des réclamations et signalements est disponible tout au long de la mise en œuvre et est mis en place conformément aux meilleures pratiques en la matière. c) les voix de la société civile et du grand public, en particulier celles des populations directement affectées, sont prises en compte dans le suivi et l’évaluation de l’impact des programmes d’allocation, conformément aux meilleures pratiques en matière de suivi et d’évaluation.",,"Aucune information n'est disponible à ce sujet. Ce degré est également retenu lorsque les voix de la société civile et du grand public ne sont ni entendues, ni prises en compte dans le suivi et l’évaluation réalisés par les autorités du pays d’origine.",,,,"Toutes les conditions suivantes sont cumulativement remplies : a) la société civile et le grand public ont la possibilité de soulever toute irrégularité rencontrée à l’occasion de la mise en œuvre des programmes d’allocation, en actionnant un mécanisme de traitement des réclamations et signalements. b) le mécanisme de traitement des réclamations et signalements est disponible tout au long de la mise en œuvre et est mis en œuvre conformément aux meilleures pratiques en la matière. c) les voix de la société civile et du grand public, en particulier celles des populations directement affectées, sont prises en compte dans le suivi et l’évaluation de l’impact des programmes d’allocation, conformément aux meilleures pratiques en matière de suivi et d’évaluation.",,10. modalités de participation ,Les deux éléments suivants sont remplis : a) le processus de suivi et d’évaluation demeure opaque pour la société civile. b) la société civile n’a pas l’occasion de faire entendre sa voix durant le processus de suivi et d’évaluation.
Etape 4,,,,Codification V3 Excel.xlsx,,,,,,,,,,,,,"Les conditions suivantes ne sont que partiellement remplies : a) les OSC ont la possibilité de se porter candidates dans le cadre des appels d’offres pour la sélection des moniteurs et des évaluateurs, dans les mêmes conditions et selon les mêmes exigences que celles prévues pour les autres candidats. b) lorsqu’elles jouent un rôle formel dans le suivi et l’évaluation, les OSC se voient allouer une partie des fonds restitués pour l’accomplissement de leurs missions, étant entendu qu’elles devront rendre compte des dépenses effectuées au moyen de ces fonds.",,"Aucune information n’est disponible. Ce degré est également retenu lorsque qu’aucun moniteur n’est sélectionné, ni pour le suivi, ni pour l’évaluation de la restitution. ",,,,"Les conditions suivantes sont cumulativement remplies : a) les OSC ont la possibilité de se porter candidates dans le cadre des appels d’offres pour la sélection des moniteurs et des évaluateurs, dans les mêmes conditions et selon les mêmes exigences que celles prévues pour les autres candidats. b) lorsqu’elles jouent un rôle formel dans le suivi et l’évaluation, les OSC se voient allouer une partie des fonds restitués pour l’accomplissement de leurs missions, étant entendu qu’elles devront rendre compte des dépenses effectuées au moyen de ces fonds.",,11. critères de sélection ,Les OSC n’ont pas la possibilité de se porter candidates pour la sélection des moniteurs.
