source_sheet,Code,Définition,Précisions,source_file,Restitution,Etape,Définition_E,Principe,Définition _PP,Paramètre ,Degré_Retenu_P,Sources,Justification_Degré_Retenu_P,Deal-Breaker,Commentaire,Degré 3 ,Degré 2 ,Degré 1 ,Degré 0,Source,Deal-Breaker (Oui/Non),Commentaires ,Degré 3, Degré 1,Paramètre,Degré 1
Etape 1,,,,Codification V3 Excel.xlsx,,E1,Négociation entre Etats et signature d’un accord de restitution.,transparence (P_T) ,"Les informations et décisions clés relatives à l’affaire et aux accords de restitution sont publiées, en temps et en heure. Les documents officiels sont publiés. L’information est centralisée et facile d’accès. ",1. modalités d'accès à l'information ,,,,Certains contrats entre des parties prenantes ne sont pas publiés (faire descendre d'un niveau).,,"Les informations clés des négociations, à savoir l’accord (ou les accords) des négociations, ainsi que les décisions de justice relatives à l’affaire, sont cumulativement : a) publiées en source ouverte (librement accessibles, sans restriction), b) centralisées sur une page ou plateforme dédiée, c) accessibles par défaut depuis le pays d’origine et le pays d’accueil, d) disponibles au minimum dans les langues pertinentes des deux pays.","Les informations clés des négociations, à savoir l’accord (ou les accords) des négociations, ainsi que les décisions de justice relatives à l’affaire, sont publiées, mais une ou plusieurs des conditions suivantes est remplie(s) : a) l’accès n’est pas pleinement ouvert (accès sur demande, inscription préalable, diffusion restreinte ou partiellement discrétionnaire), b) les informations ne sont pas centralisées sur une plateforme dédiée et sont dispersées sur plusieurs supports sans point d’entrée clair, c) les informations ne sont accessibles que depuis un seul des pays concernés (pays d’origine ou pays d’accueil), d) les informations ne sont disponibles que dans une seule langue ou dans une langue non pertinente pour certaines parties prenantes.","Les informations clés informations clés des négociations, à savoir l’accord (ou les accords) de négociations, ainsi que les décisions de justice relatives à l’affaire, ne sont pas publiées en source ouverte, ou leur diffusion est exceptionnelle, discrétionnaire, ou limitée à des annonces générales. Ce degré est également retenu si l’accord des négociations n’est pas publié du tout, mais que certaines informations sur ses dispositions sont publiés à travers des annonces de presses.",Aucune information n'est publiée. ,,,,,,,
Etape 1,,,,Codification V3 Excel.xlsx,,,,,,2. usabilité de l'information.,,,,Certains contrats entre des parties prenantes ne sont pas publiés (faire descendre d'un niveau).,,"La forme de publication des informations clés des négociations, à savoir l’accord (ou les accords) de négociations, ainsi que les décisions de justice relatives à l’affaire, est claire, facilement accessible et naviguable en ligne, et compréhensible. (Ex:document claire et naviguable, annonce de presse détaillant les termes de l’accord).","La forme de publication des informations clés des négociations, à savoir l’accord (ou les accords) de négociations, ainsi que les décisions de justice relatives à l’affaire, est (non cumulatif) a) un pdf, ou un document scanné difficilement naviguable b) difficilement accessible en ligne. ","La publication des informations clés des négociations, à savoir l’accord (ou les accords) de négociations ainsi que les décisions de justice relatives à l’affaire, se fait à travers des annonces de presse, irrégulières et/ou non centralisées.",Il n'y a aucune publication concernant les accords de restitution.,,,,,,,
Etape 1,,,,Codification V3 Excel.xlsx,,,,,,"3. temporalité, fréquence et actualisation des informations publiées",,,,Certains contrats entre des parties prenantes ne sont pas publiés (faire descendre d'un niveau).,,"La publication des informations clés des négociations, à savoir l’accord (ou les accords) de négociations ainsi que les décisions de justice relatives à l’affaire, ","La publication des informations clés des négociations, à savoir l’accord (ou les accords) de négociations ainsi que les décisions de justice relatives à l’affaire, est tardive (ne se fait pas dans un temps raisonnable après sa prise en effet).","La publication des informations clés des négociations, à savoir l’accord (ou les accords) de négociations ainsi que les décisions de justice relatives à l’affaire, n'est pas publiée. Mais des annonces de presses signalent son ou leur existence. ",Aucun document ou annonces officiels relatifs à l’affaire n’est publié.,,,,,,,
Etape 1,,,,Codification V3 Excel.xlsx,,,,redevabilité (P_R),"A l’issue des négociations, les modalités de restitution, les rôles et les responsabilités des autorités du pays d’accueil et du pays d’origine, les objectifs du processus de restitution ainsi que les modalités de suivi et d’évaluation sont clairement définis.",4. planification et formalisation du processus de restitution,,,,,,Les éléments suivants sont clairement et cumulativement définis à l'issue du processus de négociations : a) les objectifs finaux et intermédiaires. b) les modalités de suivi et d’évaluation.,"Les objectifs finaux et intermédiaires du processus de restitution, ainsi que les modalités de suivi et d'évaluation, sont définie de manière vague et non exhaustive.","Les objectifs finaux et intermédiaires ne sont pas définie à l'issue du processus de négociation, dans le MOU ou équivalent.",Aucune information n'est publiée. ,,,,,,,
Etape 1,,,,Codification V3 Excel.xlsx,,,,,,5. tracabilité financière de la restitution,,,,,,Une ligne séparée est présente dans les comptes des deux Etats ,"Une ligne séparée est présente dans les comptes d'un des deux Etats, d'origine ou d'accueil.",Aucune garantie n'existe sur la création de lignes de compte séparées. ,Aucune information n'est publiée. ,,,,,,,
Etape 1,,,,Codification V3 Excel.xlsx,,,,,,6. répartition des rôles ,,,,,,Les éléments suivants sont clairement et cumulativement définis : a) Les rôles des autorités gouvernementales impliquées. b) L'étape à partir de laquelle ces autorités gouvernementales interviennent. c) Les points de contact au sein des différentes autorités intervenantes.,"Lors de la négociation de la restitution et (le cas échéant) dans les accords publiés, répondent à une ou plusieurs des éléments suivants : a) seules les autorités principales du pays d’origine et du pays d’accueil intervenant dans la restitution sont identifiées. b) l'étape à laquelle ces autorités gouvernementales interviennent n'est pas définie. c) aucun point de contact n’est désigné au sein des différentes autorités intervenantes.",Les rôles et responsabilités ne sont pas définis dans les publications relatives aux négociations des modalités de restitution.,Aucune information n'est publiée. ,,,,,,,
Etape 1,,,,Codification V3 Excel.xlsx,,,,,,7. responsabilité et recours ,,,,,,"Les accords prévoient (cumulativement) que: a) Les États d'accueil et d'origine, le cas échant, répondent aux irrégularités identifiées au cours du processus de restitution. b) des clauses prévoyant la suspension du transfert des avoirs s'il y a des soupçons d'irrégularité c) des clauses prévoyant la suspensoin du transfert des avoirs s'il y a des soupçons de non respect des principes GFAR (ou équivalents) .","Lors de la négociation de la restitution et (le cas échéant) dans les accords publiés, le pays d’origine et le pays d’accueil n’adoptent aucune disposition concernant: a) leur responsabilité réciproque. b) la suspension du processus de restitution en cas d’irrégularité ou de non-respect des principes du GFAR (ou équivalent).","Dans le cas où la restitution est en cours : aucun mécanisme de redevabilité spécifique n'est mis en place (ou ne semble être discuté). Dans le cas ou les accords ad hoc de restitutions sont finalisés, une (ou plusieurs) des conditions suivantes est remplie: a) aucun mécanisme de redevabilité spécifique n'est mis en place b) une clause est instituée excluant expressément la responsabilité de l'État d'origine et d'accueil.",Aucune information n'est publiée. ,,,,,,,
Etape 1,,,,Codification V3 Excel.xlsx,,,,inclusivité (P_I),"La société civile et le grand public ont accès aux informations détaillées des accords, et sont tenus au courant des avancées des négociations en temps réel. Leurs préoccupations et suggestions sont prises en compte. La société civile est également associée aux négociations en vue de la conclusion des accords ad hoc de restitution.",8. niveau de détail de l’information publiée,,,,,,"Les informations publiées couvrent l’ensemble des éléments suivants : a) Informations substantielles sur l’affaire (nature de l’affaire/décision(s) de confiscation/identité des personnes morales et physiques impliquées/chefs d’accusation/ type et montants des avoirs concernés.) b) Cadre général de restitution et partage des fonds (cadre juridique applicable/règles et accords de partage/montants détaillés des dépenses raisonnables déduites par l’État d’accueil). c) Modalités concrètes de restitution montants précis des avoirs confisqués et restitués (calendrier du processus de restitution, choix et justification de l’affectation finale des fonds/modalités de suivi de l’utilisation des fonds).","Les informations publiées couvrent une partie substantielle des éléments ci-dessous, mais certains éléments sont absents ou insuffisamment détaillés (ex. montants agrégés, absence de justification, calendrier incomplet). a) informations substantielles sur l’affaire (nature de l’affaire/décision(s) de confiscation/identité des personnes morales et physiques impliquées/chefs d’accusation/ type et montants des avoirs concernés.) b) cadre général de restitution et partage des fonds (cadre juridique applicable/règles et accords de partage/montants détaillés des dépenses raisonnables déduites par l’État d’accueil.) c) modalités concrètes de restitution, montants précis des avoirs confisqués et restitués (calendrier du processus de restitution, choix et justification de l’affectation finale des fonds/modalités de suivi de l’utilisation des fonds).","Seules des informations générales ou de contexte sont publiées, telles que : les États parties, montants globaux restitués, rappels généraux des chefs de condamnation, sans information détaillée sur les décisions, les flux ou les modalités de restitution.",,,,,,,,
Etape 1,,,,Codification V3 Excel.xlsx,,,,,,9. capacité d’action : actualisation des informations ,,,,,,"La publication est opportune et continue, tout au long du processus de restitution. Ces informations sont publiées : a) sans délai excessif après la définition du cadre de restitution et la prise des décisions pertinentes, b) avant le transfert effectif des fonds, c) sont actualisées régulièrement en cas d’évolution du processus.","La publication est irrégulière ou non exhaustive. Les informations sont publiées avant la clôture complète du processus de restitution, mais une des deux conditions suivantes est remplie : a) la publication des décisions clés s’effectue sans délai excessif qu’elles soient prises, mais il n’y a pas ou peu de mise à jour régulière de la société civile sur l’avancée des négociations. b) la publication, même des décisions clés, s'effectue de manière irrégulière, sans mise à jour systématique, mais toujours sans délai excessif après que les décisions importantes sont prises.","La publication est tardive ou a posteriori. La publication s'effectue selon une ou plusieurs des modalités suivantes: a) uniquement peu avant le transfert final des fonds, b) à la fin du processus de restitution, c) elle s'effectue avec un décalage significatif par rapport aux décisions prises.",Aucune information n'est publiée.,,,,,,,
Etape 1,,,,Codification V3 Excel.xlsx,,,,La société civile et le grand public ont accès sans délai aux informations. Leurs préoccupations et suggestions sont prises en compte. La société civile est également associée aux négociations en vue de la conclusion des accords ad hoc de restitution.,,10. modalités de participation ,,,,,,"Un dialogue à ""quatre voix"" est mis en place, c’est-à-dire que sont intégrés durant la négociation de la restitution: a) le pays d’accueil des avoirs b) le pays d’origine des avoirs c) les OSC du pays d’accueil d) les OSC du pays d’origine.",En vue des négociations des modalités de restitution entre le pays d'accueil et le pays d'origine : a) Les autorités compétentes du pays d’origine et du pays d’accueil n'auditionnent que les OSC de leur choix. b) Cette audition ne couvre que des points limités (leur intégration dans les négociations ne s'effectue qu'à titre consultatif).,"La négociation s'effectue selon une des modalités suivantes: a) Les OSC ne sont ni consultées, ni intégrées au processus de négociation b) Aucun document accessible ne permet de confirmer/vérifier que les OSC sont auditionnées dans l'objectif d'être incluses aux négociations des accords de restitutions.",Ce degré est retenu si les fonds n’ont pas vocation à être restitués au bénéfice de la population affectée : elle n’est pas considérée du tout pendant les négociations.,,,,,,,
Etape 1,,,,Codification V3 Excel.xlsx,,,,,,11. critères de sélection ,,,,,,La sélection des OSC associées aux négociations s'effectue (cumulativement): a) par les autorités du pays d'accueil et d'origine. b) de manière transparente. c) en associant une ou plusieurs OSC aux négociations. d) en accord avec les meilleures pratiques de sélection d'acteurs issus de la société civile.,Les OSC auditionnées lors des négociations sont: a) sélectionnées à la totale discrétion des pays d'accueil et d'origine (sélection des OSC de leur choix). b) sélectionnées sans aucune ou peu de transparence quant aux critères pris en compte.,"Les OSC ne sont ni consultées, ni intégrées au processus de négociation. Ce degré est également retenu dans le cas où aucun document accessible ne permet de confirmer ou de vérifier l'audition des OSC dans l'objectif de les inclure aux négociations des accords de restitution.",Ce degré est retenu si les fonds n’ont pas vocation à être restitués au bénéfice de la population affectée : elle n’est pas considérée du tout pendant les négociations. ,,,,,,,
Etape 2,,,,Codification V3 Excel.xlsx,,E2,Etape de l’identification des besoins et de la sélection des projets ou programmes récipiendaire,transparence (P_T) ,"La société civile et le grand public ont accès sans délai aux informations et à la documentation relatives à l’identification des besoins de la population et priorités définies, au processus de sélection des structures de gouvernance et/ou des responsables chargés de mettre en œuvre les programmes par lesquels les fonds restitués seront attribués.",1. modalités d'accès à l'information ,,,,,,"Les informations relatives aux besoins identifiés de la population et priorités définies ; à la structure de gouvernance mise en place (ou responsables de la gestion et de l’allocation fonds) ; ainsi que des programmes à travers lesquels les fonds restitués seront attribués sont (cumulativement) a) publiées en source ouverte. b) publiées de manière centralisée, sur un site ou une page web dédiée. c) accessibles par défaut depuis le pays d'origine et le pays d'acceuil, dans leurs langues respectives.","Les informations relatives aux besoins identifiés de la population et priorités définies ; à la structure de gouvernance mise en place (ou responsables de la gestion et de l’allocation fonds) ;  ainsi que des programmes à travers lesquels les fonds restitués seront attribués, correspondent à un ou plusieurs des critères suivants : a) elles ne sont pas publiées en source ouverte (ou il faut un code d'accès, une inscription pour les obtenir). b) elles ne sont pas centralisés. c) ne sont pas accessibles dans la langue du pays d'accueil / d'origine.","Seules les parties prenantes ont accès à l'information détaillée concernant la structure de gouvernance, ainsi que des programmes à travers lesquels les fonds restitués seront attribués. En règle générale, les informations publiées sur la forme que prendra la restitution des fonds sont limitées aux conditions générales de l’accord de restitution. ",Aucune information n'est publiée.,,,,,,,
