Restitution,Etape,Principe,Paramètre ,Degré_Retenu_P,Sources,Justification_Degré_Retenu_P,Deal-Breaker,Commentaire,source_sheet,source_file,Source,Deal-Breaker (Oui/Non),Commentaires ,Paramètre
Angola - Etats-Unis,E1,inclusivité (P_I),11. critères de sélection ,Degré 1,,Aucune documentation ne permet d’identifier que les OSC ont été intégrées au processus des négociations. ,,,Etape 1,SANS déf_Angola_codification (V3 C) copy.xlsx,,,,
Angola - Etats-Unis,E2,transparence (P_T) ,1. modalités d'accès à l'information ,Degré 1,,"On connait l’objectif humanitaire, plus particulièrement dans le déminage et pour la formation agricole (4), de l’allocation des fonds d’après les accords, et que c’est à l’Angola de choisir le destinataire (1). On sait également que le contrat avec le destinataire RUAG s’est fait sans aucune transparence. Ces informations sont dispersées, pas précises, et sous la forme de communiqués de presse officiels, de journaux suisse ou des ONG. On sait qu’un secrétariat exécutif en charge de la gestion administrative et l’implémentation financière du programme (2), mais on ne connait pas les détails, de qui il est composé, comment il fonctionne. En somme, l’information est très limitée sur comment les fonds sont gérés. C’est d’ailleurs une critique effectuée par la société civile (3). ",,,Etape 2,SANS déf_Angola_codification (V3 C) copy.xlsx,"(1) Direction Fédérale des Affaires Étrangères. (2005, November 1). La Suisse et l’Angola signent un accord concernant la restitution des fonds provenant de la République d’Angola et actuellement bloqués en Suisse en vue de leur affectation à des projets humanitaires. Webrelief.int; Web Relief. https://reliefweb.int/report/angola/la-suisse-et-langola-signent-un-accord-concernant-la-restitution-des-fonds-provenant ; (2) Swiss Agency for Development and Cooperation. (2005, December 1). Bilateral agreement between Angola and Switzerland - Finalization of the implementation mechanisms. Reliefweb.int; ReliefWeb. https://reliefweb.int/report/angola/bilateral-agreement-between-angola-and-switzerland-finalization-implementation ; (3) Bradley, S. (2008, June 13). NGOs attack Angola demining deal. Www.swissinfo.ch; Swiss Info. https://www.swissinfo.ch/eng/swiss-politics/ngos-attack-angola-demining-deal/6727032 ; (4) Conseil Fédéral. (2009, March 20). Angola, DDC et RUAG. Contrats d’aide humanitaire, quelle transparence? Avis du Conseil Fédéral. Parlament.ch; Assemblée Fédérale. https://www.parlament.ch/fr/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20093261",,,
Angola - Etats-Unis,E2,transparence (P_T) ,2. niveau de détail de l'information ,Degré 1,,"Très peu d’information concernant la gouvernance des fonds est publiée en ligne. Les décisions de contrat de la DDC sont opaque, ce que critique la société civile. Seul le fait que la DDC est en charge d’allouer les fonds et de sélectionner les entités récipiendaires est soulignée (1). Un secrétariat exécutif serait en charge de la gestion administrative et l’implémentation financière du programme, mais on ne sait pas qui ils sont et concrètement comment ils fonctionnent (2). ",,,Etape 2,SANS déf_Angola_codification (V3 C) copy.xlsx,"(1) Public Eye. (2008, October 23). Fonds détournés: rendre enfin justice à la population angolaise. Publiceye.ch; Public Eye. https://www.publiceye.ch/fr/coin-medias/communiques-de-presse/detail/fonds-detournes-rendre-enfin-justice-a-la-population-angolaise ; (2) Swiss Agency for Development and Cooperation. (2005, December 1). Bilateral agreement between Angola and Switzerland - Finalization of the implementation mechanisms. Reliefweb.int; ReliefWeb. https://reliefweb.int/report/angola/bilateral-agreement-between-angola-and-switzerland-finalization-implementation","On ne peut pas savoir quelles informations étaient effectivement accessible au moment de la sélection. Dans ce cas, retenir le degré du dessous.",,
Angola - Etats-Unis,E2,transparence (P_T) ,3. délai de fréquence de publication,Degré 1,,"Quelques informations étaient disponibles concernant l’avancée des décisions de la DDC, et notamment le fait qu’une expertise était commandée par la Direction du développement et de la coopération (DDC) (1). Mais globalement, les avancées des la mise en oeuvre des programmes est trop opaque pour être considérée comme transparente. ",,,Etape 2,SANS déf_Angola_codification (V3 C) copy.xlsx,"Public Eye. (2008, October 23). Fonds détournés: rendre enfin justice à la population angolaise. Publiceye.ch; Public Eye. https://www.publiceye.ch/fr/coin-medias/communiques-de-presse/detail/fonds-detournes-rendre-enfin-justice-a-la-population-angolaise","Seules des informations générales sont publiées en temps et en heure, mais la société civile n’est pas tenue au courant des choix effectués pendant le processus, retenir le degré 2. ",,
Angola - Etats-Unis,E2,redevabilité (P_R),4. planification et formalisation du processus de restitution,Degré1,,"La DDC indique que la compétence de choisir les partenaires appartient exclusivement aux autorités angolaises. Un projet de formation professionnelle agricole a fait l'objet d'un appel d'offres public, mais le même processus n'a pas été suivi pour le contrat de déminage. La procédure existe dans le contrat mais n’est pas formalisée au public. On sait que deux projets font partie du Programme social humanitaire (PSH-Angola) qui est définit, conformément à l'accord du 5 novembre 2005, par le Gouvernement de la République d’Angola. Le premier est la ""Formation professionnelle en agriculture” pour lequel a été allouée un montant total de 7 502 072.62 dollars (inclus les intérêts de la BNS Zurich d'environ 3 millions de dollars à ce jour). Le second est le ""Déminage humanitaire”, pour lequel a été alloué un montant de 16 566 350 dollars.",,,Etape 2,SANS déf_Angola_codification (V3 C) copy.xlsx,"(1) Swiss Conferation. (n.d.). Switzerland’s Experience in Repatriating Illicitly Acquired Assets by Politically Exposed Persons (PEP). In eda.admin.ch. Federal Department of Foreign Affairs . https://www.eda.admin.ch/dam/fr/sd-web/vLXkW-zmgeBG/09-cas-de-restitution_en.pdf ; (2) Public Eye. (2008, October 23). Fonds détournés: rendre enfin justice à la population angolaise. Publiceye.ch; Public Eye. https://www.publiceye.ch/fr/coin-medias/communiques-de-presse/detail/fonds-detournes-rendre-enfin-justice-a-la-population-angolaise ; (3) Conseil Fédéral. (2009, March 20). Angola, DDC et RUAG. Contrats d’aide humanitaire, quelle transparence? Avis du Conseil Fédéral. Parlament.ch; Assemblée Fédérale. https://www.parlament.ch/fr/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20093261",,,
Angola - Etats-Unis,E2,redevabilité (P_R),5. répartition des rôles de la structure de gouvernance ou des responsables de la gouvernance des fonds ,Degré 2,,"Les deux acteurs principaux (DDC côté suisse, gouvernement angolais côté pays d'origine) sont identifiés publiquement, sans que des points de contact désignés soient accessibles. La compétence de choisir des partenaires appartient exclusivement aux autorités angolaises, qui sont propriétaires des fonds. Le rôle de la DDC est uniquement fiduciaire (de mandataire) et administratif pour s'assurer que les fonds sont correctement utilisés conformément aux termes de l’accord. (1) (2) Et ce, malgré la manifestation de la DB (déclaration de berne) pour un appel d’offre transparent. Les deux acteurs sont donc identifiés mais les points de contacts pas désignés publiquement. La DDC est compétente pour l’implémentation au nom de la Suisse. La préparation précise à chaque étape n’est pas non plus formalisée.",,,Etape 2,SANS déf_Angola_codification (V3 C) copy.xlsx,"Bradley, S. (2008, June 13). NGOs attack Angola demining deal. Www.swissinfo.ch; Swiss Info. https://www.swissinfo.ch/eng/swiss-politics/ngos-attack-angola-demining-deal/6727032 ; Direction Fédérale des Affaires Étrangères. (2005, November 1). La Suisse et l’Angola signent un accord concernant la restitution des fonds provenant de la République d’Angola et actuellement bloqués en Suisse en vue de leur affectation à des projets humanitaires. Webrelief.int; Web Relief. https://reliefweb.int/report/angola/la-suisse-et-langola-signent-un-accord-concernant-la-restitution-des-fonds-provenant",,,
Angola - Etats-Unis,E2,redevabilité (P_R),6. compétence et indépendance des responsables de la gouvernance des fonds,Degré 1,,"La DDC est chargée de la gouvernance des fonds, et elle a été sélectionné de manière discrétionnaire par les gouvernements, sans appels d’offres. Elle n’est pas indépendante car chacun des projets et budgets doivent être approuver par des responsables nommés par les gouvernements des parties prenantes. ",,,Etape 2,SANS déf_Angola_codification (V3 C) copy.xlsx,"Direction Fédérale des Affaires Étrangères. (2005, November 1). La Suisse et l’Angola signent un accord concernant la restitution des fonds provenant de la République d’Angola et actuellement bloqués en Suisse en vue de leur affectation à des projets humanitaires. Webrelief.int; Web Relief. https://reliefweb.int/report/angola/la-suisse-et-langola-signent-un-accord-concernant-la-restitution-des-fonds-provenant",,,
Angola - Etats-Unis,E2,inclusivité (P_I),7. capacité d'action,Degré 0,,"La société civile n’est pas consultée dans la sélection des programmes récipiendaires. Ceux ci (déminage, éducation) ont été choisi à la discrétion des gouvernements. ",,,Etape 2,SANS déf_Angola_codification (V3 C) copy.xlsx,Open Society Justice Initiative . (2015). Open Society Justice Initiative Repatriating Stolen Assets: Potential Funding for Sustainable Development. In justice initiative.org. Open Society Foundations . https://www.justiceinitiative.org/uploads/59e79b54-69fa-46fd-a9d7-7699729ed8c4/repatriating-stolen-assets-background-20150727.pdf,,,
Angola - Etats-Unis,E2,inclusivité (P_I),8. modalités de participation ,Degré 0,,"Les OSC ne sont pas inclues dans la structure de gouvernance, ni même consultées pour la sélection des entités récipiendaires. La DDC a commandé une expertise était mandatée par la Direction du développement et de la coopération (DDC) (1), qui avait d’ailleurs recommandé de n’accepter aucun des deux contrats avec l’entreprise RUAG, mais la DDC a décidé de ne pas en tenir compte. De plus, cette expertise n’était pas menée par une OSC, donc cela ne saurait compté comme modalité de participation des OSC. La DDC avait pourtant garanti la mise en oeuvre d’une « commission conjointe suisse et angolaise [pendant laquelle] la transparence sera[ait] au cœur [de la] mission» ( selon Hansjürg Ambühl) (2) . Cependant, cette commission ne semble pas avoir peu lieu, et l’opacité de cette restitution a continué d’être critiquée conjointement par la Déclaration de Berne et Global Witness. ",,,Etape 2,SANS déf_Angola_codification (V3 C) copy.xlsx,"(1) Public Eye. (2008, October 23). Fonds détournés: rendre enfin justice à la population angolaise. Publiceye.ch; Public Eye. https://www.publiceye.ch/fr/coin-medias/communiques-de-presse/detail/fonds-detournes-rendre-enfin-justice-a-la-population-angolaise ; (2) Enderlin, S. (2005, December 3). Projet suisse inédit en Angola. Letemps.ch; Le Temps SA. https://www.letemps.ch/monde/projet-suisse-inedit-angola?srsltid=AfmBOoqoFw_hHlWlUe-SDYUjXYrwMZCvkoiJ79mmJCaHeDvLzPHsYA6O",,,
Angola - Etats-Unis,E2,inclusivité (P_I),9. sélection des objectifs priorisés et mise en œuvre des programmes d’allocation,Degré 1,,"Les programmes sélectionnés répondent à un besoin de la population angolaise. Cependant, le choix d’allouer les fonds à un programme de déminage n’est pas du tout justifié, et le projet de formation agricole non plus, dans aucune des ressources disponibles au public. ",,,Etape 2,SANS déf_Angola_codification (V3 C) copy.xlsx,"Enderlin, S. (2005, December 3). Projet suisse inédit en Angola. Letemps.ch; Le Temps SA. https://www.letemps.ch/monde/projet-suisse-inedit-angola?srsltid=AfmBOoqoFw_hHlWlUe-SDYUjXYrwMZCvkoiJ79mmJCaHeDvLzPHsYA6O",,,
