Restitution,Etape,Principe,Paramètre ,Degré_Retenu_P,Sources,Justification_Degré_Retenu_P,Deal-Breaker,Commentaire,source_sheet,source_file,Source,Deal-Breaker (Oui/Non),Commentaires ,Paramètre
Guinée-Équatoriale_États-Unis,E1,inclusivité (P_I),11. critères de sélection ,Degré 1,"(1) Nate Sibley. (2021, September). Transcript: Obiang’s Kleptocracy in Equatorial Guinea. In Hudson Institute. Hudson Institute. https://www.hudson.org/foreign-policy/transcript-obiang-s-kleptocracy-in-equatorial-guinea ; (2) Open Society Justice Initiative et al. (2014). Civil Society Letter to the U.S. Department of Justice Corruption Settlement. Justiceinitiative.org. https://www.justiceinitiative.org/newsroom/civil-society-groups-urge-us-caution-equatorial-guinea-corruption-settlement","Aucune OSC n'a été formellement sélectionnée pour participer aux négociations, il n'y a donc pas eu de procédure de sélection à évaluer. C’est d’ailleurs une critique effectuée à plusieurs reprise par différents acteurs de la société civile (1) (2).",,,Etape 1,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,,,,
Guinée-Équatoriale_États-Unis,E2,transparence (P_T) ,1. modalités d'accès à l'information ,Degré 1,,Les informations publiées sur la forme que prendra la restitution des fonds sont limitées aux conditions générales de l’accord de restitution. Des accords de presse sont publiés mais ne donnent que des informations générales sur les modalités de la restitution. ,,,Etape 2,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,"(1) U.S. Department of Justice. (2011, October 25). Department of Justice Seeks to Recover More Than $70.8 Million in Proceeds of Corruption. Justice.gov. https://www.justice.gov/archives/opa/pr/department-justice-seeks-recover-more-708-million-proceeds-corruption-government-minister ; (2) U.S. Department of Homeland Security. (2014, October 9). Second vice president of Equatorial Guinea agrees to relinquish more than $30 million of assets purchased with corruption proceeds. Ice.gov. https://www.ice.gov/news/releases/second-vice-president-equatorial-guinea-agrees-relinquish-more-30-million-assets ; (3) U.S. Department of Justice. (2014, October 10). Second Vice President of Equatorial Guinea Agrees to Relinquish More Than $30 Million of Assets Purchased with Corruption Proceeds. Justice.gov. https://www.justice.gov/archives/opa/pr/second-vice-president-equatorial-guinea-agrees-relinquish-more-30-million-assets-purchased ; (4) U.S. Department of Justice. (2021, September 20). $26.6 Million In Allegedly Illicit Proceeds to Be Used To Fight COVID-19 and Address Medical Needs in Equatorial Guinea. Justice.gov. https://www.justice.gov/archives/opa/pr/266-million-allegedly-illicit-proceeds-be-used-fight-covid-19-and-address-medical-needs",,,
Guinée-Équatoriale_États-Unis,E2,transparence (P_T) ,2. niveau de détail de l'information ,Degré 1,,"Seul les nom des responsables des programmes choisis, c’est à dire, la distribution de vaccins COVID et l’aide médicale à la population, sont publiés. De même pour les responsables de leur mise en oeuvre, l’ONU et MCDI, qui sont également les entités récipiendaires. La priorité identifiée est vague : aidé médicale. ",,,Etape 2,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,"(1) U.S. Department of Justice. (2011, October 25). Department of Justice Seeks to Recover More Than $70.8 Million in Proceeds of Corruption. Justice.gov. https://www.justice.gov/archives/opa/pr/department-justice-seeks-recover-more-708-million-proceeds-corruption-government-minister ; (2) U.S. Department of Homeland Security. (2014, October 9). Second vice president of Equatorial Guinea agrees to relinquish more than $30 million of assets purchased with corruption proceeds. Ice.gov. https://www.ice.gov/news/releases/second-vice-president-equatorial-guinea-agrees-relinquish-more-30-million-assets ; (3) U.S. Department of Justice. (2014, October 10). Second Vice President of Equatorial Guinea Agrees to Relinquish More Than $30 Million of Assets Purchased with Corruption Proceeds. Justice.gov. https://www.justice.gov/archives/opa/pr/second-vice-president-equatorial-guinea-agrees-relinquish-more-30-million-assets-purchased ; (4) U.S. Department of Justice. (2021, September 20). $26.6 Million In Allegedly Illicit Proceeds to Be Used To Fight COVID-19 and Address Medical Needs in Equatorial Guinea. Justice.gov. https://www.justice.gov/archives/opa/pr/266-million-allegedly-illicit-proceeds-be-used-fight-covid-19-and-address-medical-needs","On ne peut pas savoir quelles informations étaient effectivement accessible au moment de la sélection. Dans ce cas, retenir le degré du dessous.",,
Guinée-Équatoriale_États-Unis,E2,transparence (P_T) ,3. délai de fréquence de publication,Degré 2,,"La publication concernant l’allocation était en temps et en heure pour les décisions essentielles, mais la société civile n’est pas tenue au courant de l’avancée des négociations / discussions sur le choix de la structure chargée de restituer les fonds (ici le panel tripartite). Ainsi, le degré 2 est retenu. ",,,Etape 2,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,"(1) U.S. Department of Justice. (2011, October 25). Department of Justice Seeks to Recover More Than $70.8 Million in Proceeds of Corruption. Justice.gov. https://www.justice.gov/archives/opa/pr/department-justice-seeks-recover-more-708-million-proceeds-corruption-government-minister ; (2) U.S. Department of Homeland Security. (2014, October 9). Second vice president of Equatorial Guinea agrees to relinquish more than $30 million of assets purchased with corruption proceeds. Ice.gov. https://www.ice.gov/news/releases/second-vice-president-equatorial-guinea-agrees-relinquish-more-30-million-assets ; (3) U.S. Department of Justice. (2014, October 10). Second Vice President of Equatorial Guinea Agrees to Relinquish More Than $30 Million of Assets Purchased with Corruption Proceeds. Justice.gov. https://www.justice.gov/archives/opa/pr/second-vice-president-equatorial-guinea-agrees-relinquish-more-30-million-assets-purchased ; (4) U.S. Department of Justice. (2021, September 20). $26.6 Million In Allegedly Illicit Proceeds to Be Used To Fight COVID-19 and Address Medical Needs in Equatorial Guinea. Justice.gov. https://www.justice.gov/archives/opa/pr/266-million-allegedly-illicit-proceeds-be-used-fight-covid-19-and-address-medical-needs","Seules des informations générales sont publiées en temps et en heure, mais la société civile n’est pas tenue au courant des choix effectués pendant le processus, retenir le degré 2. ",,
Guinée-Équatoriale_États-Unis,E2,redevabilité (P_R),4. planification et formalisation du processus de restitution,Degré 1,,La planification se fait de manière discrétionnaire par le gouvernement et n’est pas formalisé dans le cadre d’une procédure (1).,,,Etape 2,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,"Nate Sibley. (2021, September). Transcript: Obiang’s Kleptocracy in Equatorial Guinea. In Hudson Institute. Hudson Institute. https://www.hudson.org/foreign-policy/transcript-obiang-s-kleptocracy-in-equatorial-guinea",,,
Guinée-Équatoriale_États-Unis,E2,redevabilité (P_R),5. répartition des rôles de la structure de gouvernance ou des responsables de la gouvernance des fonds ,Degré 2,,"On sait qui a fait partie du panel tri partite qui a décidé de comment seraient allouer les fonds. On sait quelles organisations ont été sélectionnées pour mettre en oeuvre les projets d’allocation décidés par le panels. La où les roles et responsabilités des membres du panel sont juridiquement définie dans l’accord à l’amiable de 2014 (1), ceux des organisations sélectionnées ne semble pas l’air, ou du moins, aucune trace n’a été retrouvée permettant de le confirmer. ",,,Etape 2,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,"Settlement between Teodoro Nguema Obiang Mangue and the Government of the United States of America, (2014). https://storage.courtlistener.com/recap/gov.uscourts.cacd.578550.46.0.pdf",,,
Guinée-Équatoriale_États-Unis,E2,redevabilité (P_R),6. compétence et indépendance des responsables de la gouvernance des fonds,Degré 1,,"Les membres du panel sont des membres des gouvernements respectifs. Les organisations sélectionnées pour metre en oeuvre les programmes d’allocation ont été choisis à la discrétion des gouvernements, et les critères ayant déterminé leur sélection ne sont pas justifiés (1).",,,Etape 2,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,"Nate Sibley. (2021, September). Transcript: Obiang’s Kleptocracy in Equatorial Guinea. In Hudson Institute. Hudson Institute. https://www.hudson.org/foreign-policy/transcript-obiang-s-kleptocracy-in-equatorial-guinea",,,
Guinée-Équatoriale_États-Unis,E2,inclusivité (P_I),7. capacité d'action,Degré 0,,La société civile n’est pas consultée sur la sélection des programmes d’allocation (1) (2).,,,Etape 2,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,"(1) Nate Sibley. (2021, September). Transcript: Obiang’s Kleptocracy in Equatorial Guinea. In Hudson Institute. Hudson Institute. https://www.hudson.org/foreign-policy/transcript-obiang-s-kleptocracy-in-equatorial-guinea ; (2) Open Society Justice Initiative et al. (2014). Civil Society Letter to the U.S. Department of Justice Corruption Settlement. Justiceinitiative.org. https://www.justiceinitiative.org/newsroom/civil-society-groups-urge-us-caution-equatorial-guinea-corruption-settlement",,,
Guinée-Équatoriale_États-Unis,E2,inclusivité (P_I),8. modalités de participation ,Degré 0,,"La société civile n’est pas du tout consultée à cette étape. Les deux ONG qui sont chargées de la mise en oeuvre des programmes récipiendaires (distribution de vaccins COVID et aide médicale à la population, sont sélectionnées à la discrétion du pays d’origine et du pays d’accueil des avoirs, sans aucune transparence sur les critères pris en compte dans leur sélection. Elles ne sont même pas consultées dans la gestion des fonds, ni dans leur allocation, juste chargée de distribuer les vaccins et l’aide médicale. Quand bien meme elles mettent en oeuvre les programmes d’allocation.",,,Etape 2,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,,,,
Guinée-Équatoriale_États-Unis,E2,inclusivité (P_I),9. sélection des objectifs priorisés et mise en œuvre des programmes d’allocation,Degré 1,,"L’achat de vaccins du COVID  ne répond pas à un réel besoin de la population. Tutu Aliante, acteur de la société civile et fondateur de EG Justice, a critiqué ce choix, soulignant que l’EG avait déjà reçu des fonds du FMI pour acheter des vaccins du COVID. La société civile a plusieurs fois souligné qu’elle n’a pas été concertée, et qu’elle aurait voulu utiliser les fonds autrement en vue de l’immense pauvreté du pays. Pour ces raisons, le degré 1 est retenu. ",,,Etape 2,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,"Nate Sibley. (2021, September). Transcript: Obiang’s Kleptocracy in Equatorial Guinea. In Hudson Institute. Hudson Institute. https://www.hudson.org/foreign-policy/transcript-obiang-s-kleptocracy-in-equatorial-guinea",,,
